CustomerID,Gender,Age,"Annual Income ($1,000)",Spending Score (1-100)
1,Female,31,10,21
2,Male,18,10,77
3,Male,34,174,67
4,Male,49,14,33
5,Female,45,25,69
6,Female,44,12,25
7,Female,35,98,89
8,Male,23,20,18
9,Male,45,83,76
10,Male,28,15,34
11,Female,65,96,80
12,Male,45,88,89
13,Male,32,7,32
14,Female,31,59,73
15,Female,37,18,26
16,Female,36,11,25
17,Female,52,84,43
18,Female,41,27,58
19,Female,30,22,43
20,Female,61,8,41
21,Male,39,22,39
22,Female,48,78,71
23,Female,31,17,45
24,Female,43,166,81
25,Female,42,165,91
26,Male,18,10,39
27,Female,63,23,26
28,Female,54,69,67
29,Male,34,19,27
30,Female,25,16,24
31,Male,43,7,52
32,Female,40,25,48
33,Female,43,84,43
34,Male,41,9,15
35,Male,45,23,44
36,Male,56,177,90
37,Female,45,86,82
38,Female,26,53,51
39,Male,55,92,87
40,Female,58,43,45
41,Female,76,69,59
42,Female,25,16,1
43,Female,41,12,30
44,Male,18,69,70
45,Female,45,53,70
46,Male,32,113,58
47,Female,62,23,39
48,Female,29,183,87
49,Male,18,147,73
50,Female,33,17,2
51,Male,18,64,73
52,Male,48,56,61
53,Male,18,181,47
54,Male,39,58,44
55,Male,18,95,42
56,Male,35,44,13
57,Female,58,14,54
58,Female,43,7,34
59,Female,28,49,68
60,Female,38,99,69
61,Female,39,53,41
62,Female,44,54,43
63,Male,22,7,44
64,Female,46,34,67
65,Female,18,15,53
66,Male,31,67,80
67,Female,33,167,72
68,Male,46,36,39
69,Female,39,18,43
70,Male,22,20,41
71,Male,27,28,32
72,Female,41,25,27
73,Female,38,66,65
74,Male,32,18,34
75,Male,33,73,61
76,Male,47,27,46
77,Male,32,17,61
78,Female,37,32,69
79,Female,65,16,23
80,Female,21,50,45
81,Male,18,68,65
82,Male,48,38,53
83,Female,30,93,64
84,Female,35,45,32
85,Female,29,12,27
86,Female,35,56,40
87,Male,58,52,52
88,Male,48,10,68
89,Male,49,20,24
90,Female,22,43,34
91,Female,25,14,39
92,Male,18,17,57
93,Male,29,54,29
94,Male,50,14,64
95,Male,45,178,64
96,Female,36,23,24
97,Female,38,100,48
98,Female,30,48,59
99,Female,41,94,56
100,Female,48,21,45
101,Female,19,114,64
102,Male,42,49,42
103,Female,50,73,47
104,Female,34,19,32
105,Male,47,7,37
106,Female,72,60,21
107,Female,37,12,80
108,Male,43,24,24
109,Female,30,13,35
110,Female,41,50,21
111,Female,44,137,35
112,Female,41,55,48
113,Male,26,77,72
114,Male,41,54,71
115,Male,56,29,60
116,Male,44,190,71
117,Male,50,80,45
118,Female,36,84,80
119,Male,47,10,55
120,Female,42,32,32
121,Male,27,20,37
122,Male,42,26,52
123,Female,27,56,41
124,Female,31,89,70
125,Female,41,63,70
126,Female,42,32,40
127,Male,24,11,24
128,Male,51,77,77
129,Female,45,15,63
130,Female,30,51,49
131,Female,20,19,19
132,Female,37,19,34
133,Female,33,271,75
134,Female,40,13,1
135,Male,34,45,52
136,Female,18,11,45
137,Female,34,217,68
138,Male,35,101,54
139,Female,46,16,36
140,Male,30,16,67
141,Male,59,49,53
142,Female,18,19,53
143,Female,54,38,35
144,Female,36,12,44
145,Female,49,18,38
146,Female,39,42,55
147,Male,52,17,50
148,Female,34,100,63
149,Female,25,7,1
150,Female,56,8,9
151,Male,37,156,74
152,Female,41,38,20
153,Female,53,98,54
154,Female,26,11,42
155,Male,46,38,39
156,Female,31,72,52
157,Male,37,23,44
158,Male,39,96,69
159,Female,20,47,26
160,Male,29,16,28
161,Female,55,53,38
162,Male,49,26,19
163,Male,38,11,41
164,Female,41,26,63
165,Female,35,14,57
166,Male,55,28,35
167,Female,36,90,45
168,Female,41,37,60
169,Female,52,240,93
170,Male,29,14,42
171,Male,57,60,56
172,Female,20,70,85
173,Female,58,35,38
174,Female,34,38,50
175,Male,36,22,58
176,Female,18,20,35
177,Male,33,13,26
178,Female,26,300,56
179,Male,31,12,25
180,Female,37,66,57
181,Female,50,26,46
182,Female,41,23,50
183,Male,42,29,39
184,Male,25,88,30
185,Female,28,100,66
186,Male,60,17,49
187,Male,30,16,45
188,Male,58,22,33
189,Female,36,20,33
190,Female,39,59,62
191,Female,51,74,71
192,Male,54,14,37
193,Male,37,101,61
194,Male,34,32,45
195,Female,38,23,6
196,Female,43,16,44
197,Male,49,91,84
198,Male,39,65,73
199,Male,46,44,47
200,Male,58,14,50
201,Male,43,20,54
202,Female,42,13,69
203,Female,20,39,61
204,Male,18,80,61
205,Male,43,17,21
206,Female,37,100,57
207,Female,32,43,60
208,Male,41,27,58
209,Female,38,185,95
210,Female,52,17,39
211,Male,40,215,100
212,Male,30,7,8
213,Male,50,18,40
214,Female,36,80,43
215,Male,45,268,42
216,Female,33,56,54
217,Female,31,59,36
218,Male,40,80,46
219,Male,39,93,61
220,Male,44,9,40
221,Male,35,101,41
222,Male,18,61,69
223,Female,33,38,51
224,Female,48,29,65
225,Female,35,31,43
226,Female,36,205,46
227,Male,50,45,33
228,Female,30,294,49
229,Male,20,19,51
230,Male,37,86,81
231,Male,33,83,47
232,Female,27,27,51
233,Male,36,30,17
234,Female,44,35,59
235,Female,38,75,67
236,Male,42,78,39
237,Female,60,12,45
238,Female,34,76,67
239,Male,42,54,2
240,Female,32,10,59
241,Male,28,99,65
242,Male,31,58,70
243,Male,33,72,61
244,Female,43,23,17
245,Female,67,16,55
246,Male,30,53,47
247,Female,34,18,41
248,Male,38,69,74
249,Male,43,21,44
250,Male,42,62,84
251,Female,54,18,44
252,Female,18,13,29
253,Male,18,92,57
254,Female,33,16,38
255,Female,52,48,60
256,Male,20,188,49
257,Male,18,28,47
258,Male,45,92,83
259,Male,41,22,35
260,Female,25,13,50
261,Male,27,89,62
262,Male,27,99,66
263,Female,40,30,37
264,Female,31,28,41
265,Male,44,38,42
266,Male,18,16,16
267,Male,28,70,57
268,Male,25,32,48
269,Female,35,34,83
270,Female,32,84,64
271,Male,48,8,48
272,Male,18,9,56
273,Male,39,75,36
274,Male,45,73,62
275,Female,61,55,81
276,Female,33,16,37
277,Male,42,21,59
278,Male,18,61,71
279,Male,18,7,12
280,Male,49,86,62
281,Male,38,272,79
282,Female,53,84,67
283,Female,22,9,32
284,Female,45,76,37
285,Male,61,8,30
286,Female,44,22,37
287,Female,42,12,53
288,Male,39,7,58
289,Female,20,147,88
290,Male,55,16,59
291,Female,31,12,25
292,Female,45,142,70
293,Male,20,13,44
294,Female,24,87,46
295,Female,56,8,55
296,Female,34,17,51
297,Male,56,211,82
298,Female,38,11,50
299,Male,18,30,41
300,Female,49,20,59
301,Female,31,22,31
302,Female,47,22,21
303,Male,39,13,47
304,Male,20,16,61
305,Male,40,83,68
306,Male,65,29,53
307,Female,44,23,49
308,Female,38,24,48
309,Male,51,288,47
310,Female,41,265,51
311,Female,41,89,57
312,Female,25,71,65
313,Female,41,12,34
314,Male,51,23,55
315,Male,28,59,53
316,Male,56,44,58
317,Female,37,50,48
318,Female,28,51,73
319,Female,50,117,68
320,Female,35,97,93
321,Male,48,59,62
322,Male,35,97,56
323,Male,38,19,19
324,Female,44,7,19
325,Male,42,12,29
326,Male,18,55,36
327,Male,25,9,53
328,Male,50,97,55
329,Female,37,22,37
330,Female,32,48,66
331,Female,22,23,39
332,Male,26,13,62
333,Female,18,75,44
334,Female,37,51,38
335,Female,31,268,67
336,Female,27,125,88
337,Male,38,12,8
338,Male,43,7,14
339,Female,64,79,59
340,Female,20,286,90
341,Female,52,59,48
342,Female,50,97,38
343,Female,29,68,45
344,Female,41,22,65
345,Female,33,51,47
346,Male,41,94,49
347,Male,57,49,75
348,Female,46,17,47
349,Female,45,19,57
350,Male,33,9,20
351,Female,21,18,16
352,Male,36,141,68
353,Male,53,20,43
354,Female,20,15,50
355,Female,26,23,64
356,Male,40,61,29
357,Female,27,59,54
358,Male,29,10,23
359,Male,33,18,57
360,Male,22,8,40
361,Female,27,40,30
362,Male,47,21,29
363,Female,23,111,53
364,Male,19,58,49
365,Male,31,10,23
366,Female,47,95,64
367,Male,36,7,44
368,Male,33,41,66
369,Female,39,10,45
370,Female,18,50,62
371,Female,44,87,74
372,Female,43,165,61
373,Female,34,16,21
374,Male,51,23,42
375,Female,25,35,20
376,Female,52,245,100
377,Male,40,202,91
378,Female,34,22,71
379,Male,38,23,38
380,Female,37,54,58
381,Female,53,21,35
382,Male,26,19,65
383,Male,29,14,22
384,Male,51,50,19
385,Male,31,122,59
386,Male,49,167,47
387,Female,59,14,62
388,Female,34,30,71
389,Male,47,72,40
390,Male,25,10,49
391,Male,48,59,59
392,Female,41,58,27
393,Female,44,17,40
394,Male,31,26,48
395,Female,19,20,50
396,Male,45,47,32
397,Male,18,8,43
398,Female,35,8,23
399,Male,50,8,49
400,Male,41,72,52
401,Female,62,46,41
402,Male,51,38,44
403,Female,31,35,82
404,Male,39,40,46
405,Female,38,20,28
406,Male,20,79,70
407,Female,27,21,38
408,Female,32,18,28
409,Male,18,78,85
410,Female,39,12,43
411,Female,36,8,32
412,Male,18,57,55
413,Male,43,39,74
414,Male,47,96,31
415,Male,41,30,56
416,Female,35,56,86
417,Female,46,66,64
418,Female,47,17,18
419,Male,42,13,48
420,Male,29,41,59
421,Male,42,10,64
422,Male,53,214,63
423,Female,31,73,69
424,Female,64,17,17
425,Female,32,17,23
426,Male,39,21,27
427,Female,30,20,56
428,Male,41,23,43
429,Female,18,57,55
430,Female,32,74,60
431,Female,25,90,71
432,Male,40,22,38
433,Male,50,9,52
434,Female,46,31,30
435,Female,18,89,83
436,Male,63,84,46
437,Female,42,222,60
438,Male,29,47,61
439,Male,40,25,56
440,Female,41,7,37
441,Female,30,37,54
442,Male,41,10,30
443,Female,31,59,80
444,Female,34,26,65
445,Male,30,11,72
446,Male,21,7,35
447,Male,40,7,51
448,Male,46,16,43
449,Female,45,18,53
450,Female,48,16,53
451,Male,42,8,43
452,Male,32,22,16
453,Female,49,205,87
454,Male,22,20,43
455,Female,28,21,29
456,Female,27,34,59
457,Female,51,96,37
458,Female,50,59,65
459,Female,44,9,12
460,Female,51,32,46
461,Female,28,80,70
462,Male,43,81,76
463,Male,37,62,44
464,Male,49,66,63
465,Male,37,68,62
466,Female,34,56,48
467,Female,45,55,50
468,Male,49,39,44
469,Female,30,73,37
470,Male,38,10,26
471,Female,26,252,72
472,Male,18,11,32
473,Female,41,61,52
474,Male,46,87,54
475,Female,42,8,30
476,Male,18,35,36
477,Female,34,15,44
478,Male,18,18,46
479,Male,55,19,36
480,Female,25,23,33
481,Male,54,11,26
482,Male,50,153,42
483,Female,28,114,100
484,Male,25,16,25
485,Male,43,77,51
486,Male,28,21,50
487,Female,40,8,41
488,Female,33,17,36
489,Male,18,242,68
490,Male,18,297,78
491,Female,41,21,53
492,Male,32,17,24
493,Female,32,22,47
494,Female,47,35,55
495,Female,53,36,58
496,Female,35,15,42
497,Male,34,100,71
498,Female,45,12,58
499,Male,22,144,90
500,Male,41,33,25
501,Male,45,46,64
502,Female,47,77,77
503,Female,18,85,55
504,Male,29,14,40
505,Male,28,11,61
506,Female,40,263,59
507,Male,44,22,39
508,Male,56,19,49
509,Male,33,55,45
510,Male,33,100,59
511,Male,52,67,69
512,Female,42,118,56
513,Male,54,45,34
514,Male,42,13,38
515,Female,25,41,60
516,Female,23,90,62
517,Female,20,19,22
518,Male,46,16,53
519,Male,53,7,25
520,Female,61,42,25
521,Male,49,96,55
522,Female,52,27,68
523,Male,32,208,85
524,Male,25,9,34
525,Male,49,270,66
526,Female,44,72,57
527,Female,40,8,46
528,Female,43,140,46
529,Female,42,21,36
530,Male,54,81,65
531,Male,54,98,39
532,Male,45,65,49
533,Male,49,46,60
534,Male,45,23,35
535,Male,33,30,54
536,Male,48,17,28
537,Male,22,80,86
538,Female,51,68,39
539,Female,24,132,77
540,Female,42,15,35
541,Male,28,97,68
542,Male,45,182,75
543,Female,38,74,34
544,Male,19,10,36
545,Male,44,22,55
546,Female,32,16,60
547,Female,49,53,54
548,Male,39,52,57
549,Female,43,111,100
550,Male,27,13,55
551,Female,31,15,21
552,Male,33,40,44
553,Male,49,73,82
554,Male,59,166,51
555,Male,29,79,75
556,Female,51,59,57
557,Female,18,59,66
558,Female,24,71,57
559,Male,27,51,41
560,Male,22,22,62
561,Male,19,7,29
562,Female,43,9,26
563,Female,36,70,54
564,Female,43,12,47
565,Female,47,12,22
566,Male,42,11,28
567,Female,46,35,37
568,Female,38,15,51
569,Male,24,42,45
570,Female,51,23,12
571,Female,31,22,6
572,Male,27,55,28
573,Female,36,9,69
574,Male,28,20,37
575,Male,33,23,41
576,Male,43,78,65
577,Female,43,44,51
578,Male,28,18,42
579,Female,33,8,60
580,Female,51,237,66
581,Female,44,44,66
582,Male,63,31,57
583,Female,53,90,54
584,Female,52,78,46
585,Male,22,72,46
586,Female,48,38,65
587,Female,38,27,48
588,Female,32,21,30
589,Female,41,163,79
590,Female,50,61,55
591,Female,45,10,42
592,Male,28,142,92
